numbers,bonus_ball,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,date
8,13,27,30,47,48,28,2024-03-23
10,13,36,37,47,49,12,2024-03-26
2,9,14,27,42,48,15,2024-03-29
7,22,26,33,40,45,44,2024-04-01
1,16,22,36,37,44,33,2024-04-04
2,3,26,31,35,39,22,2024-04-07
1,7,10,18,22,40,32,2024-04-10
6,9,12,36,38,45,18,2024-04-13
3,14,33,34,45,46,30,2024-04-16
1,3,9,36,39,45,43,2024-04-19
8,13,27,30,47,48,28,2024-04-22
10,13,36,37,47,49,12,2024-04-25
2,9,14,27,42,48,15,2024-04-28
7,22,26,33,40,45,44,2024-05-01
1,16,22,36,37,44,33,2024-05-04
2,3,26,31,35,39,22,2024-05-07
5,14,24,26,29,35,21,2024-05-10
5,8,31,36,45,47,29,2024-05-13
12,17,19,27,28,49,45,2024-05-16
3,11,12,30,37,46,7,2024-05-19
4,6,8,16,28,41,13,2024-05-22
4,10,15,16,31,41,18,2024-05-25
12,17,19,31,40,41,4,2024-05-28
7,21,22,29,38,41,36,2024-05-31
7,9,12,22,26,46,42,2024-06-03
17,22,24,28,42,46,43,2024-06-06
5,14,24,26,29,35,21,2024-06-09
5,8,31,36,45,47,29,2024-06-12
12,17,19,27,28,49,45,2024-06-15
3,11,12,30,37,46,7,2024-06-18
4,6,8,16,28,41,13,2024-06-21
4,10,15,16,31,41,18,2024-06-24
12,17,19,31,40,41,4,2024-06-27
7,21,22,29,38,41,36,2024-06-30
7,9,12,22,26,46,42,2024-07-03
17,22,24,28,42,46,43,2024-07-06
3,15,24,32,41,45,14,2024-07-09
20,22,24,32,45,46,48,2024-07-12
2,13,16,17,24,46,31,2024-07-15
2,7,18,19,28,40,47,2024-07-18
8,30,32,34,37,39,44,2024-07-21
2,7,12,20,26,42,28,2024-07-24
9,11,16,17,43,48,8,2024-07-27
8,10,20,26,27,32,39,2024-07-30
5,6,10,11,34,37,14,2024-08-02
2,18,24,25,32,49,35,2024-08-05
3,15,24,32,41,45,14,2024-08-08
20,22,24,32,45,46,48,2024-08-11
2,13,16,17,24,46,31,2024-08-14
2,7,18,19,28,40,47,2024-08-17
8,30,32,34,37,39,44,2024-08-20
2,7,12,20,26,42,28,2024-08-23
9,11,16,17,43,48,8,2024-08-26
8,10,20,26,27,32,39,2024-08-29
5,6,10,11,34,37,14,2024-09-01
2,18,24,25,32,49,35,2024-09-04
13,18,22,25,32,46,6,2024-09-07
4,12,19,24,27,43,17,2024-09-10
3,13,17,25,28,43,26,2024-09-13
2,10,27,28,43,47,39,2024-09-16
6,13,19,25,31,48,7,2024-09-19
7,19,29,32,40,49,34,2024-09-22
3,8,30,31,34,38,2,2024-09-25
5,6,12,13,19,29,15,2024-09-28
22,23,24,39,40,46,6,2024-10-01
5,8,29,31,33,46,25,2024-10-04
13,18,22,25,32,46,6,2024-10-07
4,12,19,24,27,43,17,2024-10-10
3,13,17,25,28,43,26,2024-10-13
2,10,27,28,43,47,39,2024-10-16
6,13,19,25,31,48,7,2024-10-19
7,19,29,32,40,49,34,2024-10-22
3,8,30,31,34,38,2,2024-10-25
5,6,12,13,19,29,15,2024-10-28
22,23,24,39,40,46,6,2024-10-31
5,8,29,31,33,46,25,2024-11-03
6,11,13,16,34,41,44,2024-11-06
6,20,24,25,31,39,11,2024-11-09
3,16,26,30,37,44,20,2024-11-12
14,25,33,42,44,49,24,2024-11-15
1,2,7,37,46,47,17,2024-11-18
5,7,10,30,40,48,47,2024-11-21
2,4,11,14,39,46,7,2024-11-24
4,27,40,41,42,47,12,2024-11-27
3,26,28,33,37,39,17,2024-11-30
5,9,11,19,40,49,42,2024-12-03
6,11,13,16,34,41,44,2024-12-06
6,20,24,25,31,39,11,2024-12-09
3,16,26,30,37,44,20,2024-12-12
14,25,33,42,44,49,24,2024-12-15
1,2,7,37,46,47,17,2024-12-18
5,7,10,30,40,48,47,2024-12-21
2,4,11,14,39,46,7,2024-12-24
4,27,40,41,42,47,12,2024-12-27
3,26,28,33,37,39,17,2024-12-30
5,9,11,19,40,49,42,2025-01-02
2,3,16,21,32,38,10,2025-01-05
2,4,5,8,33,36,49,2025-01-08
14,19,25,30,40,45,23,2025-01-11
15,21,32,36,38,45,17,2025-01-14
2,14,19,21,30,34,28,2025-01-17
16,25,30,32,35,45,36,2025-01-20
1,2,7,11,12,33,49,2025-01-23
8,17,33,41,44,47,25,2025-01-26
1,16,27,32,38,46,49,2025-01-29
9,10,14,29,33,37,24,2025-02-01
2,3,16,21,32,38,10,2025-02-04
2,4,5,8,33,36,49,2025-02-07
14,19,25,30,40,45,23,2025-02-10
15,21,32,36,38,45,17,2025-02-13
2,14,19,21,30,34,28,2025-02-16
16,25,30,32,35,45,36,2025-02-19
1,2,7,11,12,33,49,2025-02-22
8,17,33,41,44,47,25,2025-02-25
1,16,27,32,38,46,49,2025-02-28
9,10,14,29,33,37,24,2025-03-03
1,4,13,19,21,48,42,2025-03-06
5,20,42,46,48,49,33,2025-03-09
9,10,16,22,28,41,29,2025-03-12
12,22,27,31,40,41,37,2025-03-15
9,31,35,42,44,49,2,2025-03-18
3,14,20,22,23,24,49,2025-03-21
21,29,30,39,41,43,26,2025-03-24
11,20,32,37,39,44,36,2025-03-27
10,18,29,30,38,39,17,2025-03-30
2,4,11,14,15,19,7,2025-04-02
1,4,13,19,21,48,42,2025-04-05
5,20,42,46,48,49,33,2025-04-08
9,10,16,22,28,41,29,2025-04-11
12,22,27,31,40,41,37,2025-04-14
9,31,35,42,44,49,2,2025-04-17
3,14,20,22,23,24,49,2025-04-20
21,29,30,39,41,43,26,2025-04-23
11,20,32,37,39,44,36,2025-04-26
10,18,29,30,38,39,17,2025-04-29
2,4,11,14,15,19,7,2025-05-02
2,11,13,28,41,45,39,2025-05-05
11,17,21,29,30,47,18,2025-05-08
2,5,8,33,44,47,36,2025-05-11
9,17,26,35,38,44,47,2025-05-14
